Auto number ID,Service Type,AAR Type,Road number,Reporting Mark,Status,Construction material,Date Purchased,Length-whole numbers,Coupler,Truck,Color,Cost,Value,Current condition,Scale,Collectable (1or 0),Weathered (1or 0),DCC (1or 0),Sound (1or 0),Current Location,Engine Type,Available (1or 0),Wheels and axles,Capacity,Loco Wheel Arrangement,Door Width,Out of Production,Weight Standards,Originial or Refinished,Is Delete,Variation,Tons or Gallons,Print Car Card,Return To,Build Date,Rebuild Date,Retailers Name,System Class,Date retired or scraped,Date removed/sold from collection,DCCREADY,OWNER,Do Maintenance Check,Capacity,ORIGINALBOX,Picture file name 2,Picture file name 3,Picture file name 4,Logo file name
9,Freight     ,TM                  ,100806         ,ATSF        , ,p                   ,5/31/2015 ,40, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\ATSF 100800 May1930 16k Tank Car Santa Fe Railway Photo LA-77-25 (1).jpg                                                                                                                                                                                 , , , 
4,Freight     ,LU                  ,141373         ,ATSF        , ,Metal Kit           ,5/30/2015 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\ATSF 141373 side 2.jpg                                                                                                                                                                                                                                   ,Photos\1967 sf box all pullman.jpg                                                                                                                                                                                                                              ,Photos\ATSF 139759 March1940 PS-1 Santa Fe Railway Photo LA-77-77.jpg                                                                                                                                                                                           , 
75,Freight     ,LU                  ,149140         ,ATSF        , ,Plastic Kit         ,2/18/2017 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,TRIX                          , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
118,Freight     ,LU                  ,156270         ,ATSF        , ,Plastic Kit         ,11/24/2018,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
111,Freight     ,RP                  ,35861          ,ATSF        ,Unassembled    ,Plastic Kit         ,12/03/2017,40, , ,Orange & Black ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0,Photos\Great Northern box car in 1981.jpg                                                                                                                                                                                                                       ,Photos\1007-07 GN 27569.JPG                                                                                                                                                                                                                                     ,Photos\1131-15 GN 27105.JPG                                                                                                                                                                                                                                     , 
93,Freight     ,HT                  ,78526          ,ATSF        , ,Plastic RTR         ,12/02/2017,45, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
70,Freight     ,LOA                 ,435526         ,BN          , ,Plastic RTR         ,12/03/2016,35, , ,Gray           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
71,Freight     ,LOA                 ,435755         ,BN          , ,Plastic RTR         ,12/03/2016,35, , ,Gray           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
56,Freight     ,FM                  ,43692          ,BN          , ,Plastic Kit         ,7/04/2016 ,40, , ,Green          ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
51,Freight     ,FM                  ,43701          ,BN          , ,Plastic Kit         ,7/04/2016 ,40, , ,Green          ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
16,Freight     ,LU                  ,80469          ,BN          , ,Plastic Kit         ,5/31/2015 ,40, , ,Green          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\BN_214572_X-RBOX_50_ACF_XP_SDR_Box_Car_in_KCS_Transfer_Moving_over_Florida_Avenue_Canal_South_into_NS_Oliver_Yard_NOLA_06-04-1995.40162326_std.jpg                                                                                                       ,Photos\8838.IMG_4324.jpg                                                                                                                                                                                                                                        , , 
47,Freight     ,LOA                 ,60351          ,C&LE        , ,Plastic RTR         ,7/04/2016 ,35, , ,White          ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Unknown                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0, , , , 
42,Freight     ,LOA                 ,183903         ,CBQ         , ,Plastic RTR         ,7/04/2016 ,35, , ,White          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
116,Freight     ,LU                  ,9353           ,CBQ         , ,Plastic Kit         ,11/24/2018,35, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
64,Freight     ,LOA                 ,175538         ,CNW         , ,Plastic RTR         ,10/29/2016,35, , ,White          ,0,0, , ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
50,Freight     ,LOA                 ,15247          ,DRGW        , ,Plastic RTR         ,7/04/2016 ,55, , ,Orange         ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
110,Freight     ,RP                  ,9253           ,FDEX        ,Unassembled    ,Plastic Kit         ,12/03/2017,40, , ,Yellow & Tuscan,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0,Photos\Great Northern box car in 1981.jpg                                                                                                                                                                                                                       ,Photos\1007-07 GN 27569.JPG                                                                                                                                                                                                                                     ,Photos\1131-15 GN 27105.JPG                                                                                                                                                                                                                                     , 
112,Freight     ,RP                  ,39427          ,FGEX        ,Unassembled    ,Plastic Kit         ,12/03/2017,40, , ,Yellow & Tuscan,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0,Photos\Great Northern box car in 1981.jpg                                                                                                                                                                                                                       ,Photos\1007-07 GN 27569.JPG                                                                                                                                                                                                                                     ,Photos\1131-15 GN 27105.JPG                                                                                                                                                                                                                                     , 
66,Freight     ,LU                  ,11585          ,GN          , ,Plastic Kit         ,10/29/2016,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
68,Freight     ,LOA                 ,173824         ,GN          , ,Plastic RTR         ,10/30/2016,35, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
67,Freight     ,LOA                 ,173914         ,GN          , ,Plastic RTR         ,10/30/2016,35, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
7,Freight     ,LU                  ,27024          ,GN          ,Out Of Service ,Plastic Kit         ,5/30/2015 ,40, , ,Green          ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,AHM / Rivarossi               , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0,Photos\Great Northern box car in 1981.jpg                                                                                                                                                                                                                       ,Photos\1007-07 GN 27569.JPG                                                                                                                                                                                                                                     ,Photos\1131-15 GN 27105.JPG                                                                                                                                                                                                                                     , 
74,Freight     ,LU                  ,3020           ,GN          , ,Plastic RTR         ,2/18/2017 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,TRIX                          , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
125,Locomotive  ,SW7                 ,17             ,GRR         , ,PLASTIC KIT         ,11/24/2018,0, , ,Blue/Green     ,0,0, ,HO    ,0,0,0,0, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
52,Freight     ,FM                  ,905638         ,ICG         , ,Plastic Kit         ,7/04/2016 ,40, , ,Orange         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
33,Freight     ,TM                  ,616            ,ILX         , ,Plastic RTR         ,7/04/2016 ,36, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Walthers Mainline             , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
32,Freight     ,TM                  ,1901           ,KPCX        , ,Plastic Kit         ,7/04/2016 ,40, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
24,Freight     ,LOA                 ,2542           ,MOHX        , ,Plastic Kit         ,5/31/2015 ,55, , ,Gray           ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0,Photos\MOHX 2542 - 1990.JPG                                                                                                                                                                                                                                     , , , 
63,Freight     ,LU                  ,17600          ,MP          , ,Plastic Kit         ,10/29/2016,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
69,Locomotive  ,GP 38-2             ,2126           ,MP          , ,PLASTIC RTR         ,12/03/2016,0, , ,Blue           ,0,0, , ,0,0,1,1, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0, ,0,0,0,F:\Mayfield Data\Data Volume\Pastimes\Model Railroading\RCLTRAIN\Photos\MoPac 2126.jpg                                                                                                                                                                          ,"F:\Mayfield Data\Data Volume\Pastimes\Model Railroading\RCLTRAIN\Photos\MoPac 2126 Crowley, LA - Michael Palmierie - 82.05.05.jpg                                                                                                                               ", , 
123,Freight     ,LU                  ,39130          ,MP          , ,Plastic RTR         ,11/24/2018,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Kadee                         , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
114,Freight     ,HMA                 ,59677          ,MP          , ,Plastic Kit         ,11/24/2018,45, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Unknown                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
91,Freight     ,HT                  ,62003          ,MP          , ,Plastic Kit         ,12/02/2017,45, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
19,Freight     ,GB                  ,642109         ,MP          , ,Plastic Kit         ,5/31/2015 ,50, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0,Blayne Mayfield               ,1,0,0, , , , 
48,Freight     ,LOA                 ,710364         ,MP          ,Out Of Service ,Plastic RTR         ,7/04/2016 ,50, , ,Gray           ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Atlas                         , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
34,Freight     ,TM                  ,11809          ,MTC         , ,Plastic Kit         ,7/04/2016 ,40, , ,Black          ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
61,Locomotive  ,GP 50               ,000            ,NONE        ,Unassembled    ,PLASTIC KIT         ,7/04/2016 ,0, , , ,0,0, ,HO    ,0,0,0,0, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
92,Freight     ,HT                  ,38876          ,NW          , ,Plastic Kit         ,12/02/2017,45, , ,Black          ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
25,Freight     ,LOA                 ,14345          ,PTLX        , ,Plastic RTR         ,5/31/2015 ,55, , ,White          ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\MFA.JPG                                                                                                                                                                                                                                                  ,Photos\MFA2.JPG                                                                                                                                                                                                                                                 , , 
40,Freight     ,LOA                 ,512032         ,RI          , ,Plastic RTR         ,7/04/2016 ,35, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\RI 512011 - Prototype.jpg                                                                                                                                                                                                                                , , , 
119,Freight     ,FM                  ,100008         ,SLSF        , ,Plastic RTR         ,11/24/2018,42, , ,Yellow         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Red Caboose                   , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
115,Freight     ,FC                  ,100014         ,SLSF        , ,Plastic RTR         ,11/24/2018,42, , ,Yellow         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
73,Freight     ,NM                  ,1147           ,SLSF        , ,Plastic RTR         ,2/17/2017 ,35, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
10,Freight     ,NM                  ,1244           ,SLSF        , ,Plastic Kit         ,5/31/2015 ,35, , ,Red            ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 1244 - Lindenwood Yard.jpg                                                                                                                                                                                                              ,C:\RCLTRAIN\Photos\FR584.jpg                                                                                                                                                                                                                                    ,C:\RCLTRAIN\Photos\FR814.jpg                                                                                                                                                                                                                                    , 
72,Freight     ,NM                  ,1260           ,SLSF        , ,Plastic Kit         ,2/17/2017 ,35, , ,Orange/White   ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
122,Freight     ,NM                  ,1291           ,SLSF        , ,Plastic RTR         ,11/24/2018,38, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Atlas                         , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
95,Freight     ,NM                  ,1311           ,SLSF        , ,Plastic RTR         ,12/02/2017,38, , ,Red            ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Bluford Shops                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 1244 - Lindenwood Yard.jpg                                                                                                                                                                                                              ,C:\RCLTRAIN\Photos\FR584.jpg                                                                                                                                                                                                                                    ,C:\RCLTRAIN\Photos\FR814.jpg                                                                                                                                                                                                                                    , 
77,Locomotive  ,F9B                 ,145            ,SLSF        , ,PLASTIC RTR         ,6/10/2017 ,0, , ,Orange and Whit,0,0, ,HO    ,0,0,1,1, ,Diesel    ,0, ,0, ,0,0,0, ,0, , ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
128,Freight     ,LU                  ,153197         ,SLSF        ,Unassembled    ,Plastic Kit         ,3/19/2019 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
31,Freight     ,LU                  ,153208         ,SLSF        ,Unassembled    ,Plastic Kit         ,7/04/2016 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
18,Freight     ,LU                  ,15568          ,SLSF        , ,Plastic Kit         ,5/31/2015 ,50, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0, ,0,0,0, , , , 
13,Freight     ,LU                  ,16302          ,SLSF        , ,Plastic Kit         ,5/31/2015 ,40, , ,Blue           ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Roundhouse                    , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
124,Freight     ,LU                  ,17158          ,SLSF        , ,Plastic RTR         ,11/24/2018,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Intermountain                 , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,Photos\SLSF 27019.jpg                                                                                                                                                                                                                                           , , , 
11,Freight     ,LU                  ,17774          ,SLSF        , ,Metal Kit           ,5/31/2015 ,40, , ,Tuscan         ,0,0, ,HO    ,0,1,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Varney                        , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0,C:\RCLTRAIN\Photos\SLSF 17774 - Red Matchbook Box.jpg                                                                                                                                                                                                           , , , 
30,Freight     ,LU                  ,17784          ,SLSF        ,Unassembled    ,Plastic Kit         ,7/04/2016 ,40, , ,Tuscan         ,0,0, ,HO    ,0,0,0,0, , ,0,Plastic ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Accurail                      , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
38,Freight     ,TM                  ,191020         ,SLSF        , ,Plastic RTR         ,7/04/2016 ,40, , ,Black/Yellow   ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
39,Freight     ,TM                  ,191023         ,SLSF        , ,Plastic RTR         ,7/04/2016 ,40, , ,Black/Yellow   ,0,0, ,HO    ,0,0,0,0, , ,0,Metal   ,0, ,0,0,0,OR,0, ,Tons ,0, ,/  /      ,/  /      ,Athearn                       , ,/  /      ,/  /      ,0,Blayne Mayfield               ,0,0,0, , , , 
